Name;Chronology;xUTM;yUTM
Firiteaz Tarvenca;LBA;528029.0;5094052.0
Beba Veche;LBA;443218.0;5107849.0
Pecica Santu Mic;LBA;500641.0;5113184.0
Munar;MBA;502794.0;5105589.0
Biled 2;MBA;498996.0;5080276.0
Santana Cetatea Veche;LBA;534762.0;5128231.0
Topolovat Joamba;LBA;549390.0;5069075.0
Zabrani;MBA;545511.0;5103600.0
Turnu;LBA;507643.0;5122022.0
Variasu Mare;LBA;515921.0;5122311.0
Turnu La Prioran;LBA;507896.0;5119577.0
Padureni 2;MBA;521383.0;5049902.0
Alios Valea Aliosu;MBA;539057.0;5101354.0
Cenei;LBA;493733.0;5063474.0
Satchinez Ratu Mare;MBA;500600.0;5083820.0
Siria;LBA;546316.8;5124746.0
Cornesti-Iarcuri;LBA;518248.7;5087102.9
Cornesti-Cornet;MBA;517064.7;5082835.1
06Name;UNKNOWN;538826.3;5096863.0
Vinga;UNKNOWN;516285.9;5093717.7
Semlac Livada lui Onea;LBA;496786.3;5109173.4
Satu Mare;MBA;494903.1;5101023.8
Csanadpalota;LBA;480102.6;5118472.6
Turnu Tell;MBA;505099.8;5119774.8
03Name;UNKNOWN;508435.4;5125748.4
Semlac Pusta lui Cucu;LBA;498476.6;5110899.8
09Name;UNKNOWN;510258.8;5071995.1
11Name;MBA;521733.5;5056857.5
Peciu Nou;MBA;506430.0;5050003.4
Foeni Gomila Lupului;MBA;489928.8;5041306.8
08Name;UNKNOWN;533807.0;5114736.7
02Name;UNKNOWN;490788.7;5111415.9
Sannicolaul Mare;LBA;474204.2;5103068.1
01Name;MBA;488492.2;5099206.6
04Name;UNKNOWN;508589.5;5080292.5
Lovrin;LBA;480221.1;5095681.1
Biled Campia Arsa;LBA;492214.8;5084008.7
Dudestii Vechi;MBA;459078.9;5102367.2
05Name;UNKNOWN;527673.1;5094567.8
07Name;UNKNOWN;541939.5;5097472.5
10Name;UNKNOWN;519779.6;5074134.9
12Name;UNKNOWN;500266.6;5050771.9
